Zip Code,Price,Status,Zestimate,Address,City,State,Bedrooms,Bathrooms,Size,Type,Year Built,Heating,Cooling,Parking,Lot Size,Price/sqft,URL
12302,"$249,900 ",For sale,"$249,928 ",16 Barry Ln,Glenville,NY,4 bd,3 ba,"2,292 sqft",Single Family,1966,Forced air,Central,2 spaces,0.46 acres,$109 ,https://www.zillow.com/homedetails/16-Barry-Ln-Glenville-NY-12302/32486072_zpid/
12302,"$169,000 ",For sale,"$169,000 ",486 Saratoga Rd,Glenville,NY,#NAME?,#NAME?,"1,715 sqft",Multi Family,1950,Baseboard,None,No Data,$99 ,,https://www.zillow.com/homedetails/486-Saratoga-Rd-Glenville-NY-12302/32483884_zpid/
12302,"$100,000 ",Lot/land, ,2157 Amsterdam Rd,Glenville,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/2157-Amsterdam-Rd-Glenville-NY-12302/32487016_zpid/
12302,"$439,000 ",For sale,"$426,339 ",Price cut: ,Schenectady,NY,7 bd,5 ba,"3,360 sqft",Multi Family,2017,Gas,Central,4 spaces,$131 ,,https://www.zillow.com/homedetails/201-Maple-Avenue-Ext-Schenectady-NY-12302/2092831510_zpid/
12302,"$224,900 ",For sale,"$224,900 ",231 Hetcheltown Rd,Glenville,NY,3 bd,1 ba,"1,517 sqft",Single Family,1948,Forced air,No Data,2 spaces,0.85 acres,$148 ,https://www.zillow.com/homedetails/231-Hetcheltown-Rd-Glenville-NY-12302/32484475_zpid/
12302,"$225,000 ",For sale,"$219,702 ",27 Saint Anthony Ln,Glenville,NY,3 bd,2 ba,"1,554 sqft",Single Family,1970,Forced air,Central,1 space,0.34 acres,$145 ,https://www.zillow.com/homedetails/27-Saint-Anthony-Ln-Glenville-NY-12302/32485710_zpid/
12302,"$48,500 ",Lot/land, ,Amsterdam Rd,Schenectady,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/Amsterdam-Rd-Schenectady-NY-12302/201938465_zpid/
12302,"$299,900 ",For sale,"$284,291 ",26 Pinewood Dr,Glenville,NY,4 bd,3 ba,"2,660 sqft",Single Family,1975,Forced air,Central,2 spaces,0.34 acres,$113 ,https://www.zillow.com/homedetails/26-Pinewood-Dr-Glenville-NY-12302/32486403_zpid/
12302,"$232,000 ",For sale,View Zestimate,513 Riverside Ave,Glenville,NY,4 bd,2 ba,"1,281 sqft",Single Family,1935,Radiant,No Data,1 space,"8,276 sqft",$181 ,https://www.zillow.com/homedetails/513-Riverside-Ave-Glenville-NY-12302/32488423_zpid/
12302,"$398,980 ",For sale,"$384,626 ",748 Rector Rd,Glenville,NY,3 bd,2 ba,"2,500 sqft",Single Family,1828,Other,None,4 spaces,47.64 acres,$160 ,https://www.zillow.com/homedetails/748-Rector-Rd-Glenville-NY-12302/54276913_zpid/
12302,"$484,900 ",For sale by owner, ,1010 Seminole Rd,Glenville,NY,4 bd,3 ba,"3,245 sqft",,,,,,,,https://www.zillow.com/homedetails/1010-Seminole-Rd-Glenville-NY-12302/201944930_zpid/
12302,"$169,000 ",Lot/land, ,Goldfoot Rd,Schenectady,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/Goldfoot-Rd-Schenectady-NY-12302/201946221_zpid/
12302,"$169,000 ",Lot/land, ,Crane St,Schenectady,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/Crane-St-Schenectady-NY-12302/143908430_zpid/
12302,"$249,900 ",For sale by owner,"$239,585 ",6 Witbeck Dr,Glenville,NY,4 bd,2 ba,"1,880 sqft",Single Family,1958,"Forced air, Other",Central,4 spaces,"10,454 sqft",$133 ,https://www.zillow.com/homedetails/6-Witbeck-Dr-Glenville-NY-12302/32484136_zpid/
12302,"$399,900 ",For sale,"$391,905 ",955 Charlton Rd,Scotia,NY,4 bd,3 ba,"2,952 sqft",Single Family,1850,"Baseboard, Stove",None,2 spaces,8.9 acres,$135 ,https://www.zillow.com/homedetails/955-Charlton-Rd-Scotia-NY-12302/32412319_zpid/
12302,"$299,900 ",New construction,"$295,219 ",12 Jane Dr #L,Schenectady,NY,3 bd,3 ba,"2,100 sqft",Single Family,No Data,Gas,No Data,2 spaces,0.44 acres,$143 ,https://www.zillow.com/homedetails/12-Jane-Dr-L-Schenectady-NY-12302/2079346811_zpid/
12302,"$212,773 ",Foreclosed,"$212,773 ",6 Marilyn Dr,Glenville,NY,3 bd,1 ba,"1,328 sqft",Single Family,1962,Forced air,Central,2 spaces,0.36 acres,No Data,https://www.zillow.com/homedetails/6-Marilyn-Dr-Glenville-NY-12302/32486126_zpid/
12302,"$192,400 ",Auction,Auction,145 Maple Ave,Scotia,NY,4 bd,3 ba,"2,025 sqft",Single Family,1947,Forced air,No Data,Detached Garage,1.2 acres,,https://www.zillow.com/homedetails/145-Maple-Ave-Scotia-NY-12302/32486603_zpid/
